bench,llm,gap_150,gap_300,gap_600,gap_1200,gap_2400,a_asymptote,b_variance,fit_r2,crossover_N,gap_negative_at_2400,deepening
nq,qwencoder7b,0.005722436822262367,0.0040574774209976155,0.0036532069814176667,0.001739800646111225,0.0013501194386242848,0.0015955040509520227,0.6615887268118483,0.8831796492331976,,False,False
hotpot,internlm7b,0.011832615363528975,0.009464330245809187,0.005508698378301905,0.004575002789341203,0.0030546094493230196,0.0033129967568832092,1.38350496324296,0.9323682045432571,,False,False
trivia,internlm7b,0.008212753957145238,0.006809813966830343,0.0041474629631889325,0.002731477919249072,0.00296751797993227,0.0026106830804021545,0.9147570104001349,0.916053451233008,,False,False
nq,internlm7b,0.0014306241371492244,0.0004915478127088292,-0.00041499749573449714,-0.0034717549177481592,-0.004291657751197719,-0.003447742978727989,0.8502562590052354,0.7439437342603011,246.61242565097734,True,True
hotpot,olmo7b,0.0006201562203911135,0.0006714127706603946,0.00014520164994989704,-5.153434230743999e-05,-0.00020756804959739215,-0.00010873420071108277,0.13326497439886348,0.7342587353446643,1225.6031085652742,True,True
trivia,olmo7b,0.003158344968022626,0.0036259435521662116,0.0034679912367731143,0.002828114892020655,0.0027581361713235253,0.0030165183423007686,0.058524318100822176,0.15168886330548403,,False,False
nq,olmo7b,0.0016368344797263769,0.0010893708991935834,0.0003192800244226513,2.9903590248412174e-05,-9.037191047205594e-05,-0.0001381535967740593,0.28457690841207206,0.9531618747771621,2059.858845929853,True,False
hotpot,granite8b,0.01104092952397288,0.009409170003982682,0.006182941663397586,0.003922227727673037,0.0028199548894428154,0.003325127186639676,1.2967422871177245,0.8825948745022976,,False,False
trivia,granite8b,0.011942010105823292,0.009908659599637496,0.008741371251101682,0.007247008022426055,0.006232835210466876,0.00661487297225046,0.8514208512157229,0.9314209419512769,,False,False
nq,granite8b,0.002470644696420974,0.002985927464516744,-0.00044350278901785986,-0.0028133404298293536,-0.0047494398654153395,-0.003304767630595718,1.081867914553839,0.6811761423392676,327.3658046447342,True,True
hotpot,yi15,0.009911607809854596,0.00941420957156451,0.005563621116367896,0.004458376677767361,0.003414271781769955,0.0038290852249000676,1.0541930967347595,0.82771890827573,,False,False
trivia,yi15,0.012943904997027402,0.011543354615911659,0.008038748880958645,0.007345527376445924,0.007641858564999647,0.007029588044471593,0.9573254874569265,0.9013947024688844,,False,False
nq,yi15,0.003487650063014717,0.0011613995203735746,-1.4614810643999443e-05,-0.004238071768840538,-0.006259384109330917,-0.004783035101722286,1.3975861473432982,0.7911531682289519,292.1965065320245,True,True
