bench,llm,sigma_R2,truth,pred_proc,pred_rule,pred_always_ruleope,pred_always_mrdr,selector,lo,hi,ok_proc,ok_rule,ok_always_ruleope,ok_always_mrdr
hotpot,qwen32b,0.0584073770913972,RuleOPE,RuleOPE,RuleOPE,RuleOPE,MRDR,fit_in_grid,0.0,0.06,True,True,True,False
trivia,qwen32b,0.028760761529171,RuleOPE,RuleOPE,RuleOPE,RuleOPE,MRDR,fit_in_grid,0.0,0.06,True,True,True,False
nq,qwen32b,0.0822767597764882,MRDR,MRDR,MRDR,RuleOPE,MRDR,fit_in_grid,0.0,0.06,True,True,False,True
musique,qwen14b,0.0127057911758461,RuleOPE,RuleOPE,RuleOPE,RuleOPE,MRDR,fit_in_grid,0.0,0.06,True,True,True,False
musique,qwen32b,0.0130988800240137,MRDR,RuleOPE,RuleOPE,RuleOPE,MRDR,fit_in_grid,0.0,0.06,False,False,False,True
musique,smollm17b,0.0130090777002576,RuleOPE,RuleOPE,RuleOPE,RuleOPE,MRDR,paper_fixed,0.05,0.1,True,True,True,False
musique,qwen3b,0.0107788222730596,RuleOPE,RuleOPE,RuleOPE,RuleOPE,MRDR,paper_fixed,0.05,0.1,True,True,True,False
musique,phi3mini,0.0141465618869479,RuleOPE,RuleOPE,RuleOPE,RuleOPE,MRDR,paper_fixed,0.05,0.1,True,True,True,False
musique,phi35,0.0171271898123143,RuleOPE,RuleOPE,RuleOPE,RuleOPE,MRDR,paper_fixed,0.05,0.1,True,True,True,False
musique,zephyr7b,0.0029230469475112,RuleOPE,RuleOPE,RuleOPE,RuleOPE,MRDR,paper_fixed,0.05,0.1,True,True,True,False
musique,mistral,0.0014796862724618,MRDR,RuleOPE,RuleOPE,RuleOPE,MRDR,paper_fixed,0.05,0.1,False,False,False,True
musique,qwen,0.0156000308004533,RuleOPE,RuleOPE,RuleOPE,RuleOPE,MRDR,paper_fixed,0.05,0.1,True,True,True,False
musique,qwencoder7b,0.0006677786176198,MRDR,RuleOPE,RuleOPE,RuleOPE,MRDR,paper_fixed,0.05,0.1,False,False,False,True
musique,internlm7b,0.0165453617242369,RuleOPE,RuleOPE,RuleOPE,RuleOPE,MRDR,paper_fixed,0.05,0.1,True,True,True,False
musique,olmo7b,0.0028392648206505,RuleOPE,RuleOPE,RuleOPE,RuleOPE,MRDR,paper_fixed,0.05,0.1,True,True,True,False
musique,granite8b,0.009610965767765,MRDR,RuleOPE,RuleOPE,RuleOPE,MRDR,paper_fixed,0.05,0.1,False,False,False,True
musique,yi15,0.0165390245579192,RuleOPE,RuleOPE,RuleOPE,RuleOPE,MRDR,paper_fixed,0.05,0.1,True,True,True,False
2wiki,smollm17b,0.0344691179247136,RuleOPE,RuleOPE,RuleOPE,RuleOPE,MRDR,paper_fixed,0.05,0.1,True,True,True,False
2wiki,qwen3b,0.0333388316363741,RuleOPE,RuleOPE,RuleOPE,RuleOPE,MRDR,paper_fixed,0.05,0.1,True,True,True,False
2wiki,phi3mini,0.0329215063822499,RuleOPE,RuleOPE,RuleOPE,RuleOPE,MRDR,paper_fixed,0.05,0.1,True,True,True,False
2wiki,phi35,0.0286987604935826,MRDR,RuleOPE,RuleOPE,RuleOPE,MRDR,paper_fixed,0.05,0.1,False,False,False,True
2wiki,zephyr7b,0.0030104596711628,MRDR,RuleOPE,RuleOPE,RuleOPE,MRDR,paper_fixed,0.05,0.1,False,False,False,True
2wiki,mistral,0.0165789211410724,MRDR,RuleOPE,RuleOPE,RuleOPE,MRDR,paper_fixed,0.05,0.1,False,False,False,True
2wiki,qwen,0.0406647545280133,RuleOPE,RuleOPE,RuleOPE,RuleOPE,MRDR,paper_fixed,0.05,0.1,True,True,True,False
2wiki,qwencoder7b,0.0052931687242798,RuleOPE,RuleOPE,RuleOPE,RuleOPE,MRDR,paper_fixed,0.05,0.1,True,True,True,False
2wiki,internlm7b,0.0439356877196359,RuleOPE,RuleOPE,RuleOPE,RuleOPE,MRDR,paper_fixed,0.05,0.1,True,True,True,False
2wiki,olmo7b,0.0038261643502521,MRDR,RuleOPE,RuleOPE,RuleOPE,MRDR,paper_fixed,0.05,0.1,False,False,False,True
2wiki,granite8b,0.0198802454046663,RuleOPE,RuleOPE,RuleOPE,RuleOPE,MRDR,paper_fixed,0.05,0.1,True,True,True,False
2wiki,yi15,0.0339266813946509,MRDR,RuleOPE,RuleOPE,RuleOPE,MRDR,paper_fixed,0.05,0.1,False,False,False,True
2wiki,qwen14b,0.0509726657869054,MRDR,RuleOPE,RuleOPE,RuleOPE,MRDR,paper_fixed,0.05,0.1,False,False,False,True
2wiki,qwen32b,0.0540787285947357,MRDR,RuleOPE,RuleOPE,RuleOPE,MRDR,paper_fixed,0.05,0.1,False,False,False,True
hotpot,qwen14b,0.0548356792749561,RuleOPE,RuleOPE,RuleOPE,RuleOPE,MRDR,paper_fixed,0.05,0.1,True,True,True,False
trivia,qwen14b,0.0284084528473404,RuleOPE,RuleOPE,RuleOPE,RuleOPE,MRDR,paper_fixed,0.05,0.1,True,True,True,False
nq,qwen14b,0.0856437582181441,MRDR,MRDR,RuleOPE,RuleOPE,MRDR,paper_fixed,0.05,0.1,True,False,False,True
hotpot,qwen32b,0.0584073770913972,RuleOPE,RuleOPE,RuleOPE,RuleOPE,MRDR,paper_fixed,0.05,0.1,True,True,True,False
trivia,qwen32b,0.028760761529171,RuleOPE,RuleOPE,RuleOPE,RuleOPE,MRDR,paper_fixed,0.05,0.1,True,True,True,False
nq,qwen32b,0.0822767597764882,MRDR,RuleOPE,RuleOPE,RuleOPE,MRDR,paper_fixed,0.05,0.1,False,False,False,True
musique,qwen14b,0.0127057911758461,RuleOPE,RuleOPE,RuleOPE,RuleOPE,MRDR,paper_fixed,0.05,0.1,True,True,True,False
musique,qwen32b,0.0130988800240137,MRDR,RuleOPE,RuleOPE,RuleOPE,MRDR,paper_fixed,0.05,0.1,False,False,False,True
